codigo_sessao;nome_antes;nome_depois;descricao_antes;descricao_depois;duracao_antes;duracao_depois;quantidade_itens_antes;quantidade_itens_depois;itens_mantidos;itens_movidos;itens_removidos;itens_adicionados;itens_substituidos;risco;status
A139-I-11/12;LOFT;LOFT - Pratica de Cenario Integrado;Treinamento LOFT (Line Oriented Flight Training) e preparação para o check final;Treinamento LOFT em cenario integrado IFR: briefing de missao, planejamento, execucao completa com falha em rota, e pouso no alternado. Foco em pratica e repeticao de trechos, nao avaliacao formal.;120;120;18;18;7;10;1;1;0;MEDIO;IMPLEMENTAR
A139-I-12/12;LOFT e Check;LOFT e Check;Proficiency check e consolidação final do treinamento inicial AW139;Proficiency check e consolidação final do treinamento inicial AW139;120;120;18;18;18;0;0;0;0;MEDIO;BLOQUEAR_TEMPORARIAMENTE
A139-NOT-01;Treinamento Noturno Onshore;Treinamento Noturno Onshore;Treinamento noturno onshore para AW139. Cobre planejamento noturno, configuração de cockpit, circuito de tráfego padrão, aproximações, arremetidas, autorotação noturna, Black Hole Effect e CRM.;Treinamento noturno onshore para AW139. Cobre planejamento noturno, configuração de cockpit, circuito de tráfego padrão, aproximações, arremetidas, autorotação noturna, Black Hole Effect e CRM.;60;90;18;18;1;1;16;16;0;MEDIO;IMPLEMENTAR
A139-NOT-02;Treinamento Noturno Offshore;Treinamento Noturno Offshore;Treinamento noturno offshore para AW139. Cobre decolagem e pouso em helideck, aproximação offshore, OEI em operações offshore, ditching e CRM em ambiente marítimo.;Treinamento noturno offshore para AW139. Cobre decolagem e pouso em helideck, aproximação offshore, OEI em operações offshore, ditching e CRM em ambiente marítimo.;60;90;18;18;0;2;16;16;0;MEDIO;IMPLEMENTAR
A139-P-01/04-C1;Ciclo 1 / VFR-emergências;Ciclo 1 / VFR-emergências;Sessão focada em manobras básicas em voo visual e emergências elétricas e de motor, em ambiente diurno VFR com cenário offshore. O objetivo é consolidar controle fino da aeronave, autorrotação completa, dual/single GEN failure, falhas de motor e panes em MGB, preparando a tripulação para situações críticas frequentes na operação offshore.;Sessão focada em manobras básicas em voo visual e emergências elétricas e de motor, em ambiente diurno VFR com cenário offshore. O objetivo é consolidar controle fino da aeronave, autorrotação completa, dual/single GEN failure, falhas de motor e panes em MGB, preparando a tripulação para situações críticas frequentes na operação offshore.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
A139-P-01/04-C2;Ciclo 2 / VFR-emergências;Ciclo 2 / VFR-emergências;Sessão VFR combinando operações diurnas e noturnas com ênfase em sistema elétrico, combustível e desligamento de emergência de motor. São treinadas falhas de gerador DC, battery offline, low fuel, double fuel pump failure, EEC failure, engine shutdown de emergência, além de decolagens, pousos e autorrotação.;Sessão VFR combinando operações diurnas e noturnas com ênfase em sistema elétrico, combustível e desligamento de emergência de motor. São treinadas falhas de gerador DC, battery offline, low fuel, double fuel pump failure, EEC failure, engine shutdown de emergência, além de decolagens, pousos e autorrotação.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
A139-P-01/04-C3;Ciclo 3 / VFR-emergências;Ciclo 3 / VFR-emergências;Sessão VFR sobre água com foco em falhas de rotor de cauda, controles de voo e aquecimento de baterias, em contexto de operação offshore. O treinamento cobre circuito de tráfego, autorrotação, battery overheat, engine failure offshore, falhas de tail rotor drive/control, binding dos comandos, falhas de MGB e EEC, encerrando com aproximação a heliponto.;Sessão VFR sobre água com foco em falhas de rotor de cauda, controles de voo e aquecimento de baterias, em contexto de operação offshore. O treinamento cobre circuito de tráfego, autorrotação, battery overheat, engine failure offshore, falhas de tail rotor drive/control, binding dos comandos, falhas de MGB e EEC, encerrando com aproximação a heliponto.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
A139-P-02/04-C1;Ciclo 1 / IFR-emergências;Ciclo 1 / IFR-emergências;Sessão IFR em IMC baixa, voltada para uso de AFCS, gestão de falhas de aviônicos e trem de pouso em ambiente de procedimentos por instrumentos. O piloto pratica controle IFR, automação, falhas de AP/AFCS/ADS/AHRS/FMS/GPS, fogo em bagageiro, pane hidráulica, servo bypass e aproximações ILS/VOR/NDB com arremetida.;Sessão IFR em IMC baixa, voltada para uso de AFCS, gestão de falhas de aviônicos e trem de pouso em ambiente de procedimentos por instrumentos. O piloto pratica controle IFR, automação, falhas de AP/AFCS/ADS/AHRS/FMS/GPS, fogo em bagageiro, pane hidráulica, servo bypass e aproximações ILS/VOR/NDB com arremetida.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
A139-P-02/04-C2;Ciclo 2 / IFR-emergências;Ciclo 2 / IFR-emergências;Sessão IFR em IMC moderada, centrada em falhas de referência inercial/navegação e gerenciamento de energia elétrica. Inclui AP OFF, SAS degraded, falhas de AHRS, GPS, DU, FMS, DC bus, smoke in cockpit, navegação FMS/convencional, SID/STAR, holding e aproximações de precisão e não precisão com pane de óleo de motor.;Sessão IFR em IMC moderada, centrada em falhas de referência inercial/navegação e gerenciamento de energia elétrica. Inclui AP OFF, SAS degraded, falhas de AHRS, GPS, DU, FMS, DC bus, smoke in cockpit, navegação FMS/convencional, SID/STAR, holding e aproximações de precisão e não precisão com pane de óleo de motor.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
A139-P-02/04-C3;Ciclo 3 / IFR-emergências;Ciclo 3 / IFR-emergências;Sessão IFR avançada em IMC, priorizando MISTRIM, DU degradado e navegação complexa com múltiplas falhas simultâneas. O piloto pratica controle IFR com MISTRIM, falhas de AP, ADS, DU, GPS, smoke, anomalias de rotor e servo bypass, integrando tudo com navegação FMS/convencional, holding, ILS, VOR/NDB e arremetida.;Sessão IFR avançada em IMC, priorizando MISTRIM, DU degradado e navegação complexa com múltiplas falhas simultâneas. O piloto pratica controle IFR com MISTRIM, falhas de AP, ADS, DU, GPS, smoke, anomalias de rotor e servo bypass, integrando tudo com navegação FMS/convencional, holding, ILS, VOR/NDB e arremetida.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
A139-P-03/04-OFFSHOR;LOFT e Offshore;LOFT e Offshore;;Cenario LOFT dedicado a operacoes offshore: planejamento de missao, navegacao em corredor, diagnostico e gestao de falha hidraulica em rota, e serie completa de exercicios OEI no helideck (decolagem rejeitada, fly-away, arremetida monomotor, pouso comprometido).;120;120;18;18;11;5;2;2;0;MEDIO;IMPLEMENTAR
A139-P-04/04-CHECK;LOFT e Check;LOFT e Check;;;120;120;18;18;18;0;0;0;0;ALTO;BLOQUEAR_TEMPORARIAMENTE
A139-REQ-01;Reaquisição de Experiência Recente;Reaquisição de Experiência Recente;Sessão de reaquisição de experiência recente para pilotos do AW139 com experiência recente vencida (31 a 90+ dias). Cobre todos os itens da ementa FORM-OPS-094 Rev00: pré-voo, planejamento, partida, táxi, decolagem VFR e IFR, subida, cruzeiro, navegação, procedimentos de espera, aproximações NPA e ILS, pouso em UM e em aeródromo, CRM e padronização operacional. (Ref: FORM-OPS-094 Rev00 — FTV-AW139-ANV-REQ);Sessão de reaquisição de experiência recente para pilotos do AW139 com experiência recente vencida (31 a 90+ dias). Cobre todos os itens da ementa FORM-OPS-094 Rev00: pré-voo, planejamento, partida, táxi, decolagem VFR e IFR, subida, cruzeiro, navegação, procedimentos de espera, aproximações NPA e ILS, pouso em UM e em aeródromo, CRM e padronização operacional. (Ref: FORM-OPS-094 Rev00 — FTV-AW139-ANV-REQ);60;90;18;18;18;0;0;0;0;ALTO;IMPLEMENTAR
A139-S-01/02;Semestral 01/02: LOFT e Operação Noturna;Semestral 01/02: LOFT e Operação Noturna;;Cenario LOFT noturno completo: planejamento, decolagem IFR noturna, diagnostico e gestao de falha eletrica (GEN FAIL) em rota, decisao de desvio para alternado, aproximacao e pouso no alternado em ambiente noturno.;120;120;18;18;0;0;18;18;0;MEDIO;IMPLEMENTAR
A139-S-02/02;Semestral 02/02: LOFT e Check de IFR;Semestral 02/02: Consolidacao de IFR;;Consolidacao semestral de IFR: navegacao, automacao/AFCS, ciclo completo de aproximacoes (precisao, nao-precisao, grande angulo, arremetida), emergencia de motor e pouso monomotor. NAO usa cenario LOFT-CHK (Plano B do Subagente A, adotado apos revisao adversarial do Subagente F -- migrar para LOFT-CHK recriaria duplicacao exata com A139-P-04/04-CHECK).;120;120;18;18;18;0;0;0;0;ALTO;IMPLEMENTAR
EXA-01/02;Treinamento Prático de Examinador 1/2 — SOP Normal e Condução Inicial / SOP Anormal e Avaliação;Treinamento Prático de Examinador 1/2 — SOP Normal e Condução Inicial / SOP Anormal e Avaliação;"Treinamento prático interno de examinador. Evento 1 de 2, 120 minutos, com dois blocos: SOP normal e condução inicial; SOP anormal e avaliação. Mantém 18 itens técnicos e 15 NOTECHS canônicos. Não é FAP e não gera credenciamento ANAC.";"Treinamento prático interno de examinador. Evento 1 de 2, 120 minutos, com dois blocos: SOP normal e condução inicial; SOP anormal e avaliação. Mantém 18 itens técnicos e 15 NOTECHS canônicos. Não é FAP e não gera credenciamento ANAC.";120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
EXA-02/02;Treinamento Prático de Examinador 2/2 — Emergência, Intervenção e Segurança / Atuação Integrada do Examinador;Treinamento Prático de Examinador 2/2 — Emergência, Intervenção e Segurança / Atuação Integrada do Examinador;"Treinamento prático interno de examinador. Evento 2 de 2, 120 minutos, com dois blocos: emergência, intervenção e segurança; atuação integrada do examinador. Requer EXA-E01 concluído. Mantém 18 itens técnicos e 15 NOTECHS canônicos. Não é FAP e não gera credenciamento ANAC.";"Treinamento prático interno de examinador. Evento 2 de 2, 120 minutos, com dois blocos: emergência, intervenção e segurança; atuação integrada do examinador. Requer EXA-E01 concluído. Mantém 18 itens técnicos e 15 NOTECHS canônicos. Não é FAP e não gera credenciamento ANAC.";120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
PILOT-MODELO-001;PILOT-MT-MODELO-001;PILOT-MT-MODELO-001;Modelo de Sessão Sintético;Modelo de Sessão Sintético;0;0;0;0;0;0;0;0;0;BAIXO;EXCLUIR_DO_ESCOPO
S76-NOT-01;Treinamento Noturno Onshore;Treinamento Noturno Onshore;Treinamento noturno onshore para SK76. Cobre briefing noturno, inspeção e acionamento, configuração de cockpit, hover, circuito padrão, aproximações, autorotação noturna, Black Hole Effect e CRM.;Treinamento noturno onshore para SK76. Cobre briefing noturno, inspeção e acionamento, configuração de cockpit, hover, circuito padrão, aproximações, autorotação noturna, Black Hole Effect e CRM.;60;90;18;18;17;0;1;1;0;MEDIO;IMPLEMENTAR
S76-NOT-02;Treinamento Noturno Offshore;Treinamento Noturno Offshore;Treinamento noturno offshore para SK76. Cobre decolagem e pouso em helideck, OEI em plataforma, ditching, aproximação offshore, falha de iluminação e CRM em ambiente marítimo.;Treinamento noturno offshore: decolagem/pouso helideck, OEI em plataforma, ditching, aproximacao offshore, pouso sem iluminacao de helideck (falha de iluminacao), CRM maritimo.;60;90;18;18;16;0;2;2;0;MEDIO;IMPLEMENTAR
S76-P-01/04-C1;Ciclo 1 / VFR-emergências;Ciclo 1 / VFR-emergências;;Ciclo periodico VFR 1/3: partidas anormais (quente, falha de partida), fogo de motor, falha de rotor de cauda no hover, falhas de decolagem (abortada/continuada), NR overspeed/low, estol de compressor, vibracao de rotor principal, oleo/servo/combustivel da MGB.;120;120;18;18;18;0;0;0;0;BAIXO;IMPLEMENTAR
S76-P-01/04-C2;Ciclo 2 / VFR-emergências;Ciclo 2 / VFR-emergências;;Ciclo periodico VFR 2/3: partida estagnada, fogo de motor em voo, falha de eixo do rotor de cauda em voo, oleo/chip da MGB, servos 1 e 2, trem de pouso (extensao de emergencia), autorrotacao e ditching com potencia como culminacao.;120;120;18;18;18;0;0;0;0;BAIXO;IMPLEMENTAR
S76-P-01/04-C3;Ciclo 3 / VFR-emergências;Ciclo 3 / VFR-emergências;;Ciclo periodico VFR 3/3: falha no fly gate antes da partida, painel de avisos e cautelas, fumaca/bagagem, desligamento e religamento de motor em voo, temperatura de oleo da MGB, chip/temperatura do IGB, controle do rotor de cauda, dano no rotor de cauda, amortecedor de comando, autorrotacao.;120;120;18;18;18;0;0;0;0;BAIXO;IMPLEMENTAR
S76-P-02/04-C1;Ciclo 1 / IFR-emergências;Ciclo 1 / IFR-emergências;;Ciclo periodico IFR 1/3: procedimentos normais IFR, DECU (falha menor e falha maior um motor), indicadores N1/torque, oleo do motor, gerador CC simples, piloto automatico/trim/flight director/AHRS, holding, fogo eletrico VMC, ILS/arremetida.;120;120;18;18;18;0;0;0;0;BAIXO;IMPLEMENTAR
S76-P-02/04-C2;Ciclo 2 / IFR-emergências;Ciclo 2 / IFR-emergências;;Ciclo periodico IFR 2/3: oscilacao de motor, DECU degradado, chip de motor, T5, geradores CC duplos, coletivo/decouple, ADC, display CRT total, fogo eletrico IMC, windshield hot, aproximacao RNAV.;120;120;18;18;18;0;0;0;0;BAIXO;IMPLEMENTAR
S76-P-02/04-C3;Ciclo 3 / IFR-emergências;Ciclo 3 / IFR-emergências;;Ciclo periodico IFR 3/3: fogo/fumaca na cabine, DECU falha maior em ambos os motores (o mais severo dos 3 ciclos), rolamento de gerador CA, anti-ice, hardover/oscilatorio, freio magnetico, display IIDS, gerador de simbolo, ventilador CRT, recuperacao de atitudes anormais.;120;120;18;18;18;0;0;0;0;BAIXO;IMPLEMENTAR
S76-REQ-01;Reaquisição de Experiência Recente;Reaquisição de Experiência Recente;Sessão de reaquisição de experiência recente para pilotos do SK76 com experiência recente vencida (31 a 90+ dias). Cobre todos os itens da ementa FORM-OPS-094 Rev00: pré-voo, planejamento, partida, táxi, decolagem VFR e IFR, subida, cruzeiro, navegação, procedimentos de espera, aproximações NPA e ILS, pouso em UM e em aeródromo, CRM e padronização operacional. (Ref: FORM-OPS-094 Rev00 — FTV-SK76-ANV-REQ);Sessão de reaquisição de experiência recente para pilotos do SK76 com experiência recente vencida (31 a 90+ dias). Cobre todos os itens da ementa FORM-OPS-094 Rev00: pré-voo, planejamento, partida, táxi, decolagem VFR e IFR, subida, cruzeiro, navegação, procedimentos de espera, aproximações NPA e ILS, pouso em UM e em aeródromo, CRM e padronização operacional. (Ref: FORM-OPS-094 Rev00 — FTV-SK76-ANV-REQ);60;90;18;18;18;0;0;0;0;MEDIO;IMPLEMENTAR
SK76-I-01/12;Familiarização / Checklist Normal / Voo Normal Básico;Familiarização / Checklist Normal / Voo Normal Básico;Familiarização com o SK76, procedimentos normais VFR e introdução às principais anormalidades de motor, combustível, óleo e hidráulico.;Familiarizacao com o SK76 e procedimentos normais VFR: cabine, checklist, partida, taxi, hover, decolagem, circuito de trafego e pouso.;120;120;18;18;18;0;0;0;0;MEDIO;IMPLEMENTAR
SK76-I-02/12;Voo Normal Consolidado / Perfil Visual;Voo Normal Consolidado / Perfil Visual;Aprofundamento em falhas de motor (Categorias A e B), pairado, cruzeiro e aproximação. Autorrotação para água. Introdução a aproximações OEI.;Consolidacao de procedimentos visuais: controle de velocidade, curvas, descida controlada, aproximacao estabilizada, pouso e decolagem com vento cruzado leve, arremetida por aproximacao instavel, reentrada de circuito.;120;120;18;18;18;0;0;0;0;MEDIO;IMPLEMENTAR
SK76-I-03/12;Sistemas Básicos, ECL e Anormalidades Simples;Sistemas Básicos, ECL e Anormalidades Simples;Falhas no sistema elétrico DC e AC, inversores, barramento essencial, feeder e perda de referências 26 VAC e EFIS. Voo IFR com aproximações de precisão e não precisão.;Falhas no sistema eletrico DC e AC, inversores, barramento essencial, feeder e perda de referencias 26 VAC e EFIS.;120;120;18;18;18;0;0;0;0;MEDIO;IMPLEMENTAR
SK76-I-04/12;Automação, Aviônicos e Degradações Básicas;Automação, Aviônicos e Degradações Básicas;Programação GPS/HSI/EFIS, decolagem SID, aproximações ILS/RNP/VOR/NDB, arremetida e aproximação perdida IFR. Introdução a falhas de piloto automático e flight director.;Programação GPS/HSI/EFIS, decolagem SID, aproximações ILS/RNP/VOR/NDB, arremetida e aproximação perdida IFR. Introdução a falhas de piloto automático e flight director.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
SK76-I-05/12;IFR / Navegação Básico;IFR / Navegação Básico;Falhas de AFCS, flight director, EFIS e dados de voo. Operação IFR em modo degradado. Consolidação de aproximações OEI e falhas de motor em IFR.;Falhas de AFCS, flight director, EFIS e dados de voo. Operação IFR em modo degradado. Consolidação de aproximações OEI e falhas de motor em IFR.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
SK76-I-06/12;OEI Decolagem/Aproximação / DECU;OEI Decolagem/Aproximação / DECU;Revisão completa do sistema DECU (falhas menor, degradada, total em 1 ou 2 motores). Consolidação de todas as categorias de falha de motor e combustível.;Revisão completa do sistema DECU (falhas menor, degradada, total em 1 ou 2 motores). Consolidação de todas as categorias de falha de motor e combustível.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
SK76-I-07/12;Sistemas Específicos;Sistemas Específicos;Falhas duplas de motor em pairado, decolagem e cruzeiro. Autorrotação e gerenciamento de emergência com múltiplas falhas simultâneas.;Falhas eletricas avancadas (geradores AC/DC, barramento essencial, inversor), falhas hidraulicas (bomba/pressao do sistema principal, servo e controle do rotor de cauda, amortecedor de comandos) e indicacoes de trem de pouso.;120;120;18;18;18;0;0;0;0;MEDIO;IMPLEMENTAR
SK76-I-08/12;Rotor / Transmissão / Autorrotação;Rotor / Transmissão / Autorrotação;Falhas na MGB, transmissão, servo do rotor de cauda, amortecedores e sistema hidráulico principal. Consolidação de manobras OEI e aproximações IFR.;Falhas na MGB, transmissão, servo do rotor de cauda, amortecedores e sistema hidráulico principal. Consolidação de manobras OEI e aproximações IFR.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
SK76-I-09/12;Fogo/Fumaça e Emergências Avançadas;Fogo/Fumaça e Emergências Avançadas;Incêndio no motor, cabine e compartimento de bagagem. Fumaça na cabine. Gerenciamento de múltiplas emergências sob alto estresse.;Incêndio no motor, cabine e compartimento de bagagem. Fumaça na cabine. Gerenciamento de múltiplas emergências sob alto estresse.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
SK76-I-10/12;Offshore / Unidade Marítima;Offshore / Unidade Marítima;Operações offshore, cenários IFR/OEI complexos, falhas duplas de motor, gestão de combustível e aproximações críticas;Operacao offshore: decolagem/pouso de helideck classe 2, falha de motor unico em ambiente offshore, ditching com potencia e evacuacao aquatica.;120;120;18;18;18;0;0;0;0;MEDIO;IMPLEMENTAR
SK76-I-11/12;LOFT;LOFT;Voo orientado por linha com cenário operacional realista. Integração de todas as habilidades técnicas e de CRM. Falhas inseridas no contexto de missão.;LOFT do curso inicial: voo orientado por linha com cenario de missao SK76 real, integrando IFR/navegacao, falhas de powerplant, eletrico, hidraulico e MGB ja ensinadas nas sessoes 01-10, mais fogo de motor e ditching. Falhas inseridas no contexto de missao. Catalogo 100% SK76-nativo (76-*), sem conteudo AW139.;120;120;18;18;0;0;18;18;0;MEDIO;IMPLEMENTAR
SK76-I-12/12;LOFT e Check;LOFT e Check;Verificação de proficiência final cobrindo todas as manobras críticas: motor, duplas, IFR, AFCS, elétrico, fogo, MGB e hidráulico.;Verificacao de proficiencia final do curso inicial SK76: falhas duplas de motor, aproximacoes IFR completas (precisao, nao precisao, perdida, OEI), fogo/fumaca, MGB, piloto automatico e geradores. Catalogo 100% SK76-nativo (76-*), sem conteudo AW139.;120;120;18;18;0;0;18;18;0;MEDIO;IMPLEMENTAR
SK76-P-CHECK;LOFT e Check;LOFT e Check de Tipo/IFR;;Check periodico de tipo/IFR do SK76: performance, avionica Primus 701, hover check, potencia OEI, acoes de memoria, QRH, aproximacao ILS e debriefing formal. Catalogo SK76-nativo (S76-LOFT), sem conteudo AW139.;120;120;18;18;0;0;18;18;0;ALTO;IMPLEMENTAR
SK76-S-01/02;Semestral 01/02: LOFT e Operação Noturna;Semestral 01/02: LOFT e Operação Noturna;LOFT noturno, cenários de operação noturna, gerenciamento de recursos da tripulação em condições de baixa luminosidade;LOFT noturno SK76-nativo: briefing de ilusoes/Black Hole, procedimentos normais VFR noturnos, circuito completo noturno com variacao de vento, correcao e recuperacao de Black Hole Effect, base/final noturna com referencias externas degradadas.;120;120;18;18;12;2;4;4;0;MEDIO;IMPLEMENTAR
SK76-S-02/02;Semestral 02/02: LOFT e Check de IFR;Semestral 02/02: LOFT e Check de IFR;LOFT IFR, verificação de proficiência em IFR, tomada de decisão e gerenciamento de ameaças;LOFT IFR SK76-nativo: briefing de partida, consciencia situacional, briefing de aproximacao, comunicacao/coordenacao, revisao de sistemas (MGB, combustivel, NR) em contexto IFR.;120;120;18;18;14;0;4;4;0;MEDIO;IMPLEMENTAR
TRE-INST;Treinamento de Instrutor de Voo;Treinamento de Instrutor de Voo;Ficha gerada automaticamente quando FAP 07 é vinculado a uma sessão de check. O avaliado é o instrutor que conduz a sessão.;Ficha gerada automaticamente quando FAP 07 é vinculado a uma sessão de check. O avaliado é o instrutor que conduz a sessão.;120;120;18;18;18;0;0;0;0;BAIXO;PRESERVAR_SEM_ALTERACAO
