ID,Norma,Requisito,Módulo AirTrust,Funcionalidade necessária,Evidência ANAC,Status atual,Prioridade,Fase,Risco
REQ-024,RBAC 43 / IS 43.9-004,Aprovação para Retorno ao Serviço (Return to Service),SDRMe,Campo de aprovação final com assinatura do inspetor/aprovador e número de licença,Evidência de aprovação gravada e imutável após assinatura,Inexistente,Alta,Fase 4,Aeronave retorna ao serviço sem aprovação formal; risco grave
REQ-025,RBAC 43 / IS 43.9-004,Referência técnica obrigatória em toda manutenção realizada,SDRMe,Campo referência técnica obrigatório (Manual de Manutenção, AD, SB, CMM),Evidência de obrigatoriedade técnica no formulário,Inexistente,Alta,Fase 4,Manutenção sem base técnica documentada; não conformidade
REQ-026,RBAC 43,Registro de horas de trabalho e data de conclusão por executor,SDRMe,Campos horas-homem, data início, data conclusão por executor na OS,Relatório de produtividade por mecânico/inspetor exportável,Inexistente,Média,Fase 4,Rastreabilidade insuficiente de quem fez o quê
REQ-027,RBAC 43,Task cards vinculados à OS com check de execução e inspeção,SDRMe,Task cards com check-step de executor + inspetor; impossibilidade de fechar OS sem todos os steps concluídos,Evidência de controle step-by-step em OS complexas,Inexistente,Alta,Fase 4,Etapas de manutenção omitidas sem detecção
REQ-028,RBAC 43,Registro de componentes removidos e instalados com part number e serial,SDRMe / MRO,Campos PN/SN por componente; histórico de instalação/remoção por aeronave,Relatório de componentes por aeronave exportável,Protótipo parcial,Alta,Fase 4,Rastreabilidade de componentes impossível; risco de segurança
REQ-029,RBAC 43,Controle de vida limitada (life-limited parts),MRO / SDRMe,Tabela de componentes com vida útil; alertas automáticos de vencimento,Dashboard de life-limited parts com status e prazo,Inexistente,Alta,Fase 4,Componente voando além da vida útil; risco de segurança grave
REQ-030,RBAC 43,Registro de AD (Airworthiness Directives) e SB (Service Bulletins),MRO / SDRMe,Módulo de tracking de AD/SB com status (aberta/cumprida/N/A) por aeronave,Relatório de conformidade de AD por aeronave,Inexistente,Alta,Fase 4,AD não cumprida sem detecção; risco de segurança e multa ANAC
REQ-031,RBAC 43,Calibração de ferramentas e equipamentos de teste,SDRMe,Registro de calibração com data e prazo; alerta antes do vencimento,Relatório de calibração exportável,Inexistente,Média,Fase 4,Manutenção realizada com ferramenta não calibrada
REQ-032,RBAC 43,Qualificação e treinamento de pessoal de manutenção,SDRMe / LMS,Vínculo entre executor e suas qualificações/licenças no LMS; bloqueio se qualificação vencida,Evidência de validação automática de qualificação antes de assinar OS,Parcial (LMS existe; vínculo com MRO inexistente),Alta,Fase 4,Mecânico não habilitado executa tarefa crítica sem alerta
REQ-033,RBAC 43,Manutenção terceirizada com rastreabilidade,SDRMe,Módulo de fornecedor/OMA terceirizado; OS terceirizada com RAS e documentação de retorno,Relatório de manutenção terceirizada por aeronave,Inexistente,Alta,Fase 4,Trabalho terceirizado sem rastreabilidade; não conformidade RBAC 145
REQ-034,RBAC 43,Transferência de registros de manutenção entre operadores,SDRMe / Records Core,Exportação estruturada de histórico de manutenção por aeronave em formato aceitável,Evidência de exportação completa de histórico de manutenção,Inexistente,Média,Fase 5,Registros presos no sistema; impossibilidade de transferência
REQ-035,RBAC 135,Controle operacional de voos: programação e despacho,Controle de Voos,Módulo de programação de voos com despacho formal e release do PIC,Evidência de release digital com assinatura do PIC e despachante,Protótipo (módulo existe),Alta,Fase 3,Voo operado sem controle operacional documentado
REQ-036,RBAC 135,Localização de voo (flight following),Controle de Voos,Rastreamento de posição de voo em tempo real ou via posições reportadas; alerta de ausência de posição,Evidência de localização com timestamps e posições,Inexistente,Alta,Fase 3,Perda de localização; não conformidade com RBAC 135
REQ-037,RBAC 135 / IS 135-002F,Registro de irregularidades mecânicas (MEL/discrepâncias),DB Digital / SDRMe,Campo de discrepância no eDB com vínculo automático à OS no MRO,Evidência do fluxo: discrepância → OS → RAS,Inexistente,Alta,Fase 3,Discrepância não reportada ao MRO; risco de segurança
REQ-038,RBAC 135 / IS 135-002F,MGO atualizado para uso de sistema digital,Records Core / Doc,Alteração no MGO documentando uso de eDB e SDRMe; submetido e aceito pelo POI,Cópia do MGO com capítulo de registros digitais,Inexistente,Alta,Fase 7,Operação digital sem respaldo no MGO; infração imediata
REQ-039,RBAC 117 / IS 117,Controle de jornada e repouso real vs. planejado,FRMS / Controle de Voos,Comparação automática jornada planejada (escala) vs. realizada (RDV/check-in),Relatório de conformidade de jornada exportável,Parcial (FRMS tem planejada e check-in separados),Alta,Fase 3,Jornada real não capturada; FRMS baseado em planejado apenas
REQ-040,RBAC 117 / IS 117,Alertas de fadiga e risco de FRMS integrados à programação,FRMS / Controle de Voos,Alerta em tempo real antes da alocação se FRMS/fadiga do tripulante estiver em risco,Evidência de bloqueio ou alerta antes de confirmar voo com tripulante em risco,Parcial (FRMS calcula mas não bloqueia programação),Alta,Fase 3,Tripulante fatigado alocado sem alerta; risco de segurança grave
REQ-041,RBAC 117,GRF/SGRF documentado e integrado ao FRMS,FRMS,Plano de Gerenciamento de Risco de Fadiga documentado; evidência de uso do FRMS como ferramenta,Documento GRF com referência ao FRMS como sistema de apoio,Inexistente (FRMS existe mas GRF não documentado),Alta,Fase 2,FRMS operando sem GRF aprovado; não conformidade
REQ-042,RBAC 145,OMA: aprovação de manutenção terceirizada com documentação,SDRMe,Módulo de gestão de OMA/fornecedor com aprovação e controle de qualidade,Relatório de OMAs aprovadas por aeronave,Inexistente,Média,Fase 5,Manutenção terceirizada sem controle; risco de aeronavegabilidade
REQ-043,MP 2.200-2/2001 / ICP-Brasil,Certificado digital ICP-Brasil quando exigido para assinatura com validade jurídica,Records Core / Assinatura,Integração com certificado ICP-Brasil ou equivalente aceito (Gov.br); política de aceite,Evidência de integração com ICP ou decisão documentada de equivalente aceito,Inexistente,Alta,Fase 2,Assinatura sem validade jurídica plena; risco de rejeição pela ANAC
REQ-044,Resolução ANAC 458/2017,Sistema deve funcionar offline quando o dispositivo não tem conexão,DB Digital,PWA ou app nativo com cache local criptografado e sincronização segura ao reconectar,Evidência de teste de offline: abertura e assinatura de DB sem internet,Inexistente,Alta,Fase 3,eDB inoperante em área sem cobertura; operação paralisada
REQ-045,Resolução ANAC 458/2017,Contingência em falha do dispositivo (tablet/PED),DB Digital,Plano de contingência documentado: dispositivo reserva ou retorno ao papel com procedimento formal,Manual de contingência + evidência de drill,Inexistente,Alta,Fase 3,Operação paralisada ou sem registro válido em falha de hardware
REQ-046,Resolução ANAC 458/2017,Logs de acesso e autenticação,Records Core / Infra,Log de login/logout com IP, timestamp e agente; detecção de acesso suspeito,Exportação de logs de acesso para fiscalização,Parcial (auth existe; log de acesso não estruturado),Alta,Fase 2,Acesso não autorizado sem rastreabilidade
REQ-047,Resolução ANAC 458/2017,Política de correções de software mantendo histórico,Records Core / DevOps,Processo de versionamento e rollback de software documentado; histórico de versões,Changelog auditável com datas de deploy,Parcial (git history existe; changelog formal não),Média,Fase 2,Impossibilidade de rastrear quando um bug foi introduzido ou corrigido
REQ-048,RBAC 135,Vínculo entre voo → DB/eDB → discrepância → MRO/OS → RAS,Controle de Voos / DB Digital / SDRMe,Fluxo integrado: ao fechar voo no Controle de Voos gera pré-preenchimento do eDB; discrepância no eDB gera OS no MRO; RAS fecha o ciclo,Evidência do fluxo end-to-end com rastreabilidade de IDs,Inexistente,Alta,Fase 5,Ciclo operacional sem rastreabilidade; risco de segurança e auditoria
REQ-049,RBAC 135,Horas ciclos e pousos do RDV alimentam automaticamente o MRO,Controle de Voos / MRO,Integração automática: ao fechar RDV os dados de horas/ciclos/pousos atualizam os contadores do MRO por prefixo,Evidência de atualização automática de contadores após fechamento de RDV,Inexistente,Alta,Fase 5,MRO com dados desatualizados; manutenção baseada em programas incorretos
REQ-050,RBAC 135,Disponibilidade de registros a bordo para fiscalização,DB Digital,Modo de acesso local no tablet permitindo leitura dos últimos registros mesmo sem internet,Evidência de acesso offline aos últimos N registros conforme norma,Inexistente,Alta,Fase 3,Fiscalização a bordo sem acesso aos registros; autuação imediata
